N1,Z1,N2,Z2,E_ini(MeV),v_ini(c),status,num,E_diss(MeV),integral_Rdot^2(fm*c),fric_ave(MeV/(fm*c))
75,46,75,46,5.0,0.20650405139110023,fission,2,900.8871615565947,3.9406335549295686,228.6148024166374
75,46,75,46,6.0,0.22621385432622335,fission,2,1020.0085230762589,4.684263855575211,217.75214943587022
75,46,75,46,7.0,0.24433888871261045,fission,2,1136.231251649735,5.371647239015748,211.52380286571605
75,46,75,46,8.0,0.2612092593793357,fission,2,1230.0826690887372,6.03527040142194,203.81566810973766
75,46,75,46,9.0,0.2770542579237661,fission,2,1322.785264563144,6.653212470931251,198.81903221076502
75,46,75,46,10.0,0.29204083016228455,fission,2,1422.2340454127705,7.206231993850338,197.36167897820638
72,47,72,47,1.0,0.09235141930792203,fission,2,29.227380081529986,0.35153080780238183,83.14315397915446
72,47,72,47,2.0,0.13060462968966785,fission,2,296.5158935655238,1.2802604534416553,231.60591484991673
72,47,72,47,3.0,0.15995735039241835,fission,2,520.7169198909228,2.340690647337148,222.46293865586583
72,47,72,47,4.0,0.18470283861584405,fission,2,730.4853979126439,3.093615096216504,236.12678862539448
72,47,72,47,5.0,0.20650405139110023,fission,2,908.533677181301,3.8711303511877686,234.69467436107854
72,47,72,47,6.0,0.22621385432622335,fission,2,1009.1504147449597,4.660801623734175,216.5186369670978
72,47,72,47,7.0,0.24433888871261045,fission,2,1111.6220117371427,5.4430964754421,204.22603507994123
72,47,72,47,8.0,0.2612092593793357,fission,2,1195.2326032846056,6.102041017909424,195.87423286349778
72,47,72,47,9.0,0.2770542579237661,fission,2,1284.7538342026469,6.759367550662347,190.0701248413033
72,47,72,47,10.0,0.29204083016228455,fission,2,1384.1697287936597,7.350242476809342,188.31619952142208
73,47,73,47,1.0,0.09235141930792203,fission,2,30.84938897438704,0.43672728786413295,70.63764924161178
73,47,73,47,2.0,0.13060462968966785,fission,2,296.68478377723306,1.388070175623015,213.73903782931612
73,47,73,47,3.0,0.15995735039241835,fission,2,521.9805017510148,2.3630885901306873,220.88909570764227
73,47,73,47,4.0,0.18470283861584405,fission,2,727.1764586411,3.123488311995024,232.8090858699709
73,47,73,47,5.0,0.20650405139110023,fission,2,906.428551392355,3.887793478735585,233.14729970871548
73,47,73,47,6.0,0.22621385432622335,fission,2,1019.022259319969,4.666312100453769,218.37850477701127
73,47,73,47,7.0,0.24433888871261045,fission,2,1127.2763868878817,5.366224977501227,210.06878981298243
73,47,73,47,8.0,0.2612092593793357,fission,2,1215.213190638056,6.07222736675255,200.12643091919605
73,47,73,47,9.0,0.2770542579237661,fission,2,1301.373271289845,6.725848021226869,193.48835525017708
73,47,73,47,10.0,0.29204083016228455,fission,2,1392.1887098496566,7.3139200942585605,190.3478151125177
74,47,74,47,1.0,0.09235141930792203,fission,2,38.93207037613527,0.41950258541411617,92.80531689143963
74,47,74,47,2.0,0.13060462968966785,fission,2,300.727474790954,1.3944271579098024,215.6638108237464
74,47,74,47,3.0,0.15995735039241835,fission,2,527.5413355795438,2.3644507121756293,223.113695228661
74,47,74,47,4.0,0.18470283861584405,fission,2,731.5976011710364,3.139292257844817,233.04539401925322
74,47,74,47,5.0,0.20650405139110023,fission,2,908.5643078258045,3.895824222811798,233.21491316413943
74,47,74,47,6.0,0.22621385432622335,fission,2,1030.2859440512998,4.6290803776065,222.5681690547825
74,47,74,47,7.0,0.24433888871261045,fission,2,1139.6792496324567,5.350500664408328,213.00422542018046
74,47,74,47,8.0,0.2612092593793357,fission,2,1236.6372781596847,6.047669328824917,204.48162935521603
74,47,74,47,9.0,0.2770542579237661,fission,2,1327.0153500011443,6.6972445237096165,198.14348203999992
74,47,74,47,10.0,0.29204083016228455,fission,2,1422.0295575692644,7.2822511139302595,195.27334821633053
75,47,75,47,1.0,0.09235141930792203,fusion,1,not calculated
75,47,75,47,2.0,0.13060462968966785,fission,2,309.95664193627215,1.2342227475479655,251.1350909323816
75,47,75,47,3.0,0.15995735039241835,fission,2,536.359685499491,2.34344603285121,228.87648274405367
75,47,75,47,4.0,0.18470283861584405,fission,2,742.0985016945799,3.1353431467373034,236.68812852807562
75,47,75,47,5.0,0.20650405139110023,fission,2,913.362179437548,3.8982085151033967,234.30305893047432
75,47,75,47,6.0,0.22621385432622335,fission,2,1039.3119599257952,4.637146210066303,224.12749411904676
75,47,75,47,7.0,0.24433888871261045,fission,2,1152.0720208685402,5.343305710653891,215.6103512047703
75,47,75,47,8.0,0.2612092593793357,fission,2,1253.1258785882064,6.0307161484173,207.79055882394275
75,47,75,47,9.0,0.2770542579237661,fission,2,1346.6517529530925,6.675880043379524,201.71898599175222
75,47,75,47,10.0,0.29204083016228455,fission,2,1444.2961529870347,7.259572156084185,198.95058853800117
76,47,76,47,1.0,0.09235141930792203,fusion,1,not calculated
76,47,76,47,2.0,0.13060462968966785,fission,2,311.6051180619278,1.156804919081766,269.3670409953562
76,47,76,47,3.0,0.15995735039241835,fission,2,545.9069186574379,2.318495237284266,235.45742509131813
76,47,76,47,4.0,0.18470283861584405,fission,2,751.4444312967224,3.1188822288735585,240.93389110371135
76,47,76,47,5.0,0.20650405139110023,fission,2,916.9993696094571,3.904613312705276,234.8502389790098
76,47,76,47,6.0,0.22621385432622335,fission,2,1048.0419804940395,4.646618748853826,225.54938055818724
76,47,76,47,7.0,0.24433888871261045,fission,2,1173.8715732024739,5.336063026655979,219.98832610081058
76,47,76,47,8.0,0.2612092593793357,fission,2,1276.915944827483,6.012730371640302,212.3687353170194
76,47,76,47,9.0,0.2770542579237661,fission,2,1376.0480307259954,6.65325963775491,206.82313717585987
